,Official Symbol Interactor A,Official Symbol Interactor B
0,FANCA,HSP90B1
1,FANCC,HSP90B1
2,SMARCA4,HSP90B1
3,HSP90B1,SMARCA4
4,HSP90B1,SMARCC2
5,HSP90B1,SMARCC1
6,HSP90B1,CSNK2A1
7,HSP90B1,CSNK2A2
8,VWF,HSP90B1
9,EIF2AK3,HSP90B1
10,HSP90B1,ERBB2
11,APOB,HSP90B1
12,APOB,HSP90B1
13,APOB,HSP90B1
14,HSP90B1,BIRC2
15,HSP90B1,BIRC2
16,RAE1,HSP90B1
17,EGFR,HSP90B1
18,UBA5,HSP90B1
19,MAPK6,HSP90B1
20,TERF1,HSP90B1
21,TERF2,HSP90B1
22,H2AFX,HSP90B1
23,RNF185,HSP90B1
24,FANCC,HSP90B1
25,FANCC,HSP90B1
26,FANCC,HSP90B1
27,Mapk13,HSP90B1
28,HDAC5,HSP90B1
29,SIRT3,HSP90B1
30,AMFR,HSP90B1
31,PSMA3,HSP90B1
32,POLR2E,HSP90B1
33,OS9,HSP90B1
34,ERLEC1,HSP90B1
35,ERLEC1,HSP90B1
36,OS9,HSP90B1
37,CUL3,HSP90B1
38,CUL4A,HSP90B1
39,CUL5,HSP90B1
40,CUL2,HSP90B1
41,CDK2,HSP90B1
42,CUL1,HSP90B1
43,COPS5,HSP90B1
44,COPS6,HSP90B1
45,CAND1,HSP90B1
46,HSP90B1,OS9
47,FBXO6,HSP90B1
48,HSP90B1,HSPA5
49,HSP90B1,P4HB
50,CALR,HSP90B1
51,HSP90B1,PRKCSH
52,HSP90B1,GANAB
53,HSP90B1,PCNA
54,HSP90B1,GNB2L1
55,HSP90B1,AIMP1
56,EGFR,HSP90B1
57,OS9,HSP90B1
58,CCT2,HSP90B1
59,FMNL1,HSP90B1
60,LDLR,HSP90B1
61,KCNQ4,HSP90B1
62,HSP90B1,KCNQ4
63,ATF2,HSP90B1
64,IQCB1,HSP90B1
65,METTL23,HSP90B1
66,env,HSP90B1
67,NKX3-1,HSP90B1
68,KDM4B,HSP90B1
69,KDM4B,HSP90B1
70,MAPK7,HSP90B1
71,LYN,HSP90B1
72,HDAC6,HSP90B1
73,ADRB2,HSP90B1
74,MLLT3,HSP90B1
75,MLLT3,HSP90B1
76,HSP90B1,MLLT3
77,HSP90B1,MLLT3
78,HSP90B1,TXNDC11
79,MDM2,HSP90B1
80,PARK2,HSP90B1
81,HSP90B1,CAP1
82,HSP90B1,CDC37L1
83,KIAA1598,HSP90B1
84,PHAX,HSP90B1
85,TPM1,HSP90B1
86,HSP90B1,KIAA1468
87,HSP90B1,MCM3
88,HSP90B1,USP25
89,rev,HSP90B1
90,CLU,HSP90B1
91,CLU,HSP90B1
92,TRIM68,HSP90B1
93,HUWE1,HSP90B1
94,FUS,HSP90B1
95,ERLIN2,HSP90B1
96,HSP90B1,BIRC2
97,HSP90B1,BIRC2
98,BIRC2,HSP90B1
99,CUL7,HSP90B1
100,OBSL1,HSP90B1
101,CCDC8,HSP90B1
102,EED,HSP90B1
103,OS9,HSP90B1
104,FAF2,HSP90B1
105,ARAF,HSP90B1
106,BLK,HSP90B1
107,LIMK2,HSP90B1
108,ESR1,HSP90B1
109,IKBKG,HSP90B1
110,OS9,HSP90B1
111,HSP90B1,OS9
112,OS9,HSP90B1
113,HSP90B1,ACADM
114,HSP90B1,CALR
115,HSP90B1,CLTC
116,HSP90B1,DDOST
117,AK9,HSP90B1
118,CALU,HSP90B1
119,CANX,HSP90B1
120,CCT3,HSP90B1
121,CLGN,HSP90B1
122,CTSD,HSP90B1
123,HNRNPU,HSP90B1
124,HSD17B12,HSP90B1
125,HSPA5,HSP90B1
126,KPNA3,HSP90B1
127,KPNA4,HSP90B1
128,P4HB,HSP90B1
129,RAB7A,HSP90B1
130,RCN1,HSP90B1
131,RPN2,HSP90B1
132,SLC25A3,HSP90B1
133,SUCLG2,HSP90B1
134,TSR1,HSP90B1
135,UQCRC2,HSP90B1
136,VCP,HSP90B1
137,ZBTB8OS,HSP90B1
138,HSP90B1,IPO9
139,HSP90B1,MARS
140,HSP90B1,COX2
141,HSP90B1,RPN1
142,HSP90B1,SRSF9
143,HSP90B1,USO1
144,NTRK1,HSP90B1
145,TCTN2,HSP90B1
146,TCTN3,HSP90B1
147,TCTN1,HSP90B1
148,PPME1,HSP90B1
149,HSP90B1,CLU
150,HSP90B1,SEL1L
